Name,Severity,Description,Family,URI,Attachments
HTTP Strict Transport Security Policy Detected,info,"HTTP Strict Transport Security (HSTS) is an optional response header that can be configured on the server to instruct the browser to only communicate via HTTPS.

The HSTS policy can be defined with the following settings :

 - max-age: the time, in seconds, that the browser should remember that a site is only to be accessed in HTTPS.

 - includeSubDomains (optional) : if this attribute is specified, the policy applies to all current site subdomains.

 - preload (optional) : Google maintains a compiled list of domains which is directly distributed in some browsers to enforce HTTPS without checking for the HSTS HTTP header. As the domain submission process is public, the preload attribute is used as a validation when a domain is submitted for preloading.

The scanner detected a HSTS policy on the target application.",HTTP Security Header,https://<REACTED>-staging1-app.<REACTED>.com/,"https://cloud.tenable.com/was/v2/attachments/fbfd891a-020b-4a00-833d-1227a392bc17, https://cloud.tenable.com/was/v2/attachments/fdd823ae-de42-46e9-8609-5eee25ffa364"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/siteminderagent/forms/smpwservices.fcc?USERNAME=%5Cu003cimg%5Cu0020src%5Cu003dx%5Cu0020onerror%5Cu003dconsole.log%281%29%5Cu003e&SMAUTHREASON=7,"https://cloud.tenable.com/was/v2/attachments/4acb29b0-a4ed-40d1-a112-c2cf9798bdbc, https://cloud.tenable.com/was/v2/attachments/d17153f4-4aa4-46d1-8a1e-575d4560a29a"
Cookie Without Secure Flag Detected,low,"When the `secure` flag is set on a cookie, the browser will prevent it from being sent over a clear text channel (HTTP) and only allow it to be sent when an encrypted channel is used (HTTPS).

The scanner discovered that a cookie was set by the server without the secure flag being set. Although the initial setting of this cookie was via an HTTPS connection, any HTTP link to the same server will result in the cookie being sent in clear text.

Note that if the cookie does not contain sensitive information, the risk of this vulnerability is mitigated.",HTTP Security Header,https://<REACTED>-staging1-app.<REACTED>.com/,"https://cloud.tenable.com/was/v2/attachments/6c1ecc35-cd14-4cb3-af98-d027245941e1, https://cloud.tenable.com/was/v2/attachments/29c0287a-4da5-4881-8a5b-e102d6667ab3"
Selenium Authentication Succeeded,info,This is an informational notice that the scanner was able to successfully authenticate against the web application using the Selenium script provided in the scan policy.,Authentication & Session,https://<REACTED>-staging1-app.<REACTED>.com,"https://cloud.tenable.com/was/v2/attachments/96156f58-d5a2-4402-bf72-185e32ed4860, https://cloud.tenable.com/was/v2/attachments/dc345571-fda0-49f5-8970-516afeb494d7, https://cloud.tenable.com/was/v2/attachments/56081e90-3d7d-463e-ad3b-6177aff1f559, https://cloud.tenable.com/was/v2/attachments/a50b633d-623d-4d80-8043-0a960515d54a, https://cloud.tenable.com/was/v2/attachments/d3b69f1f-0f09-456c-a14b-72595c8132c4, https://cloud.tenable.com/was/v2/attachments/6362b711-a84d-46ef-a2d4-b7e37f6c91f4, https://cloud.tenable.com/was/v2/attachments/37ea48f4-493d-4565-a063-55bfa23d3b86, https://cloud.tenable.com/was/v2/attachments/20ef63f4-0e29-4647-b3f8-a941e7e969b5, https://cloud.tenable.com/was/v2/attachments/535e1828-8ac0-4314-9633-6f1e35301ca2, https://cloud.tenable.com/was/v2/attachments/7e21bc97-d21a-4ad0-acae-d31d0f60ad97, https://cloud.tenable.com/was/v2/attachments/cb0208af-5422-4aa9-9a1d-546199126923, https://cloud.tenable.com/was/v2/attachments/39dc694c-cc21-4c1d-a6cf-514448e1b067, https://cloud.tenable.com/was/v2/attachments/5c733ddd-c7d1-4f9f-a3be-fca880100551"
SSL/TLS Versions Supported,info,This plugin displays information about the SSL/TLS versions supported by remote server for HTTPS connection.,SSL/TLS,https://<REACTED>-staging1-app.<REACTED>.com/,
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/jspwebshell.jsp,"https://cloud.tenable.com/was/v2/attachments/6009605e-5a58-40b1-9e01-7939f220e866, https://cloud.tenable.com/was/v2/attachments/6a677724-c794-4c69-b15c-aa75e7d68035"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/cpanelwebcall/%3Cimg%20src=x%20onerror=%22console.log(1)%22%3E,"https://cloud.tenable.com/was/v2/attachments/bd03d90e-d784-4169-a920-75a068407360, https://cloud.tenable.com/was/v2/attachments/b72b4961-7bfe-44c9-868f-9a060b6bf730"
Allowed HTTP Methods,info,"There are a number of HTTP methods that can be used on a webserver (`OPTIONS`, `HEAD`, `GET`, `POST`, `PUT`, `DELETE` etc.). Each of these methods perform a different function and each have an associated level of risk when their use is permitted on the webserver.

By sending an HTTP OPTIONS request and a direct HTTP request for each method, the scanner discovered the methods that are allowed by the server.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com,https://cloud.tenable.com/was/v2/attachments/fbca303e-aed7-495f-a09d-20f0fe6d84c5
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/index.php?s=index/think%5CError/appError&errno=1&errstr=%3C&errline=1&errfile=../../../../../etc/passwd,"https://cloud.tenable.com/was/v2/attachments/711bd538-1fee-44a3-8bd3-9d20e60b1aef, https://cloud.tenable.com/was/v2/attachments/c11cf42e-3050-4150-84ff-56871b199432"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/jsp-reverse.jsp,"https://cloud.tenable.com/was/v2/attachments/f21fdb2f-f9c2-447c-8e13-7c9feb769776, https://cloud.tenable.com/was/v2/attachments/9d52074d-294f-4af3-a827-b80075a6c7b8"
API Detected,info,The scan detected that some XHR requests seem to call an API. The scanner generated an OpenAPI file based on the observed requests and attached it to the plugin output. This OpenAPI file can then be used to run a scan against the API with WAS API Scanning.,General,https://<REACTED>-staging1-app.<REACTED>.com,"https://cloud.tenable.com/was/v2/attachments/491d1947-04da-4e05-ae52-27c0206694fd, https://cloud.tenable.com/was/v2/attachments/097c6d0d-1549-4a60-b951-090b4971aaee, https://cloud.tenable.com/was/v2/attachments/36933082-e477-421d-9211-5d71ca2d1ded, https://cloud.tenable.com/was/v2/attachments/17705cd1-3178-4831-bccd-5aa3ef8fe1dc, https://cloud.tenable.com/was/v2/attachments/f426e21f-dd75-475c-a586-74646bfc3cb7, https://cloud.tenable.com/was/v2/attachments/4a2df9d3-69e3-4b22-909d-e12f28106a7f, https://cloud.tenable.com/was/v2/attachments/cdb4198c-206e-441c-b16c-c47cc019c015"
Cookie Without HttpOnly Flag Detected,low,"The HttpOnly flag assists in the prevention of client side-scripts (such as JavaScript) from accessing and using the cookie.

This can help prevent XSS attacks from targeting the cookies holding the client's session token (setting the HttpOnly flag does not prevent, nor safeguard against XSS vulnerabilities themselves).",HTTP Security Header,https://<REACTED>-staging1-app.<REACTED>.com/,"https://cloud.tenable.com/was/v2/attachments/85142904-e3e5-48ee-a60d-99237a5bd941, https://cloud.tenable.com/was/v2/attachments/da0bdb0a-9c53-4afc-9225-fab0c529b915"
Web Application Firewall Detected,info,"A Web Application Firewall (WAF) has been detected during the scan. A WAF is designed to help protecting web applications by monitoring and filtering HTTP(S) traffic through a set of rules in order to prevent the most common attacks.

. The identified WAF may have blocked several requests during the vulnerability assessment or have declined access to some resources of the web application during the scan (blocked URLs have been provided in the plugin attachments).

It is recommended to scan the web application by ensuring that the traffic coming from the scanner is allowed by the WAF in order to get the most accurate coverage of the target application vulnerabilities. If needed, the Tenable WAS documentation defines the scanners IP ranges to be allowed in the WAF configuration.",General,https://<REACTED>-staging1-app.<REACTED>.com,https://cloud.tenable.com/was/v2/attachments/5cd47d6b-6ab9-4703-ba54-13009fd63e53
SSL/TLS Certificate Information,info,This plugin displays information about the X.509 certificate extracted from the HTTPS connection.,SSL/TLS,https://<REACTED>-staging1-app.<REACTED>.com/,https://cloud.tenable.com/was/v2/attachments/c1650ba8-4235-4bab-bd83-1943ad41208d
SSL/TLS Cipher Suites Supported,info,This plugin displays supported SSL/TLS cipher suites.,SSL/TLS,https://<REACTED>-staging1-app.<REACTED>.com/,https://cloud.tenable.com/was/v2/attachments/26e20631-3ba7-4eb6-8551-917f29de1304
Disabled 'X-XSS-Protection' Header (deprecated),info,"The HTTP 'X-XSS-Protection' response header is a feature of modern browsers that allows websites to control their XSS auditors.

The server did not return a correct 'X-XSS-Protection' header, which means that this website could be at risk of a Cross-Site Scripting (XSS) attack.

If legacy browsers support is not needed, it is recommended to use Content-Security-Policy without allowing unsafe-inline scripts instead.",HTTP Security Header,https://<REACTED>-staging1-app.<REACTED>.com/,"https://cloud.tenable.com/was/v2/attachments/d0fc8568-d005-4fc5-8d71-14f5e9e8cfd6, https://cloud.tenable.com/was/v2/attachments/cf586ccf-2904-45b5-ad82-c8ecd8564f07"
SSL/TLS Forward Secrecy Cipher Suites Not Supported,medium,The remote host use at least one SSL/TLS ciphers that does not offer forward secrecy (FS) also known as perfect forward secrecy (PFS). It's a feature that provides assurances the session keys will not be compromised even if the server’s private key is compromised.,SSL/TLS,https://<REACTED>-staging1-app.<REACTED>.com/,https://cloud.tenable.com/was/v2/attachments/9423df34-13c8-409c-befe-c2c4f9e50fd9
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/<REACTED>asp.aspx,"https://cloud.tenable.com/was/v2/attachments/6d570050-035d-475f-b85d-7e3fc21de347, https://cloud.tenable.com/was/v2/attachments/4984425a-e6eb-44ee-8a83-a9815edadca0"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/plugins/servlet/oauth/users/icon-uri?consumerUri=,"https://cloud.tenable.com/was/v2/attachments/f8f955d3-b052-4fbb-94bd-ac95ee3b9b08, https://cloud.tenable.com/was/v2/attachments/dc9ce77c-0db7-44ac-93f2-6e440f0ac79f"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/owa/auth/login.aspx,"https://cloud.tenable.com/was/v2/attachments/1fedbb5a-96ba-4ab6-8c1e-7a8ab282c72f, https://cloud.tenable.com/was/v2/attachments/af1612c6-8fea-4fb7-9c60-0cb6ab4a7b7b"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/go/add-on/business-continuity/api/plugin?folderName=&pluginName=../../../etc/passwd,"https://cloud.tenable.com/was/v2/attachments/9a9847ef-e315-49e0-9793-0e8432dae06e, https://cloud.tenable.com/was/v2/attachments/458d6412-1e08-4b25-bb43-e138fad4c2a4"
Missing Referrer Policy,info,"Referrer Policy provides mechanisms to websites to restrict referrer information (sent in the referer header) that browsers will be allowed to add.

No Referrer Policy header or metatag configuration has been detected.",HTTP Security Header,https://<REACTED>-staging1-app.<REACTED>.com/,"https://cloud.tenable.com/was/v2/attachments/ecb894e3-8ee8-4698-a06a-7f96e065c205, https://cloud.tenable.com/was/v2/attachments/d25135ef-26ce-4684-ae68-2fb414353bda"
SSL/TLS Server Cipher Suite Preference Not Detected,info,"The remote server is not configured with a SSL/TLS cipher suite preference list, making the cipher suite selection during the negotiation use the ordered list from the client.",SSL/TLS,https://<REACTED>-staging1-app.<REACTED>.com/,
SSL/TLS Certificate Contains Wildcard Entries,info,The remote server presents an SSL/TLS certificate with wildcard entries. The use of a wildcard character in a entry permits a certificate to cover a number of subdomains of a domain.,SSL/TLS,https://<REACTED>-staging1-app.<REACTED>.com/,https://cloud.tenable.com/was/v2/attachments/94292c76-936d-4822-a24c-e003c04797be
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/vendor/htmlawed/htmlawed/htmLawedTest.php,"https://cloud.tenable.com/was/v2/attachments/8b07428b-ded8-491b-9f4c-ad63edfad518, https://cloud.tenable.com/was/v2/attachments/1be2f985-aac3-41ec-b2ad-f8f4bab30207"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/<REACTED>jsp.jsp,"https://cloud.tenable.com/was/v2/attachments/92a64254-0c9a-4a26-86cf-256629259cf9, https://cloud.tenable.com/was/v2/attachments/7bf4d30a-4a36-4ed3-bd0f-4ecacbfc6887"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/assets/file:%2f%2f/etc/passwd,"https://cloud.tenable.com/was/v2/attachments/2048e14d-fb04-4c35-9240-e5cdd3b9ff2f, https://cloud.tenable.com/was/v2/attachments/87075d98-1740-4b46-90d3-ea1e68f911eb"
Performance Telemetry,info,This finding provides information to assist in scan performance tuning.,General,https://<REACTED>-staging1-app.<REACTED>.com,"https://cloud.tenable.com/was/v2/attachments/81cf1fe1-c8e5-4fa9-a44a-607ab3e1de20, https://cloud.tenable.com/was/v2/attachments/28a04cc0-59fd-475d-8fca-50ddef6d29c0, https://cloud.tenable.com/was/v2/attachments/73d1fc78-822c-4cb4-bbeb-3cfb3ab94d3a"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/console/login/LoginForm.jsp,"https://cloud.tenable.com/was/v2/attachments/ae1248a0-b921-44cf-87d0-47194e997520, https://cloud.tenable.com/was/v2/attachments/de804226-1f08-438f-bd27-69bbc3a6aae6"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/php_error_log,"https://cloud.tenable.com/was/v2/attachments/e0fe1f9a-e8c0-4485-bdcf-ec0984150368, https://cloud.tenable.com/was/v2/attachments/1ce76b2d-5019-4fdf-bc89-20df5b2dfaa6"
Target Information,info,Publishes the target information of the starting url as evaluated by the scan.,General,https://<REACTED>-staging1-app.<REACTED>.com,"https://cloud.tenable.com/was/v2/attachments/5943cdbb-801a-4f28-ae88-7321d548065f, https://cloud.tenable.com/was/v2/attachments/39355a85-1637-43f4-a878-994c7b5a6d57"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/tomcatwar.jsp,"https://cloud.tenable.com/was/v2/attachments/07400448-3d76-41c8-af29-870f0fb3709a, https://cloud.tenable.com/was/v2/attachments/33294d2d-9c8c-43c4-a5c6-7c27597f3a65"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/server/php/index.php,"https://cloud.tenable.com/was/v2/attachments/4b1217ee-83b0-425a-b9ff-d63b56d14f97, https://cloud.tenable.com/was/v2/attachments/7af40ef9-8fad-4a4b-a5cd-0caa35585539"
Screenshot,info,"Screenshot of the target web page, see attached image. This screenshot should show you the target page we are launching the scan against. If the image is not of the intended target page, please check the provided url in the scan configuration.",General,https://<REACTED>-staging1-app.<REACTED>.com,https://cloud.tenable.com/was/v2/attachments/4adb6e4b-7800-4866-81af-a85cbfac6e98
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/perl<REACTED>.cgi,"https://cloud.tenable.com/was/v2/attachments/f27559b4-b60f-4f25-a990-8dfb5c76850c, https://cloud.tenable.com/was/v2/attachments/d0c4b465-71ff-4900-a9ea-7d0025ce912a"
Missing Subresource Integrity,info,"Subresource Integrity (SRI) is a web security standard that enables browsers to verify that resources hosted by third parties (CDN for example) are delivered without unexpected manipulation.

SRI works by comparing a cryptographic hash declared in the integrity attribute of the resource tag (like script or link) used to fetch the resource and the calculated hash value of this resource.

No SRI have been detected for one or more resources.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com,https://cloud.tenable.com/was/v2/attachments/95898298-50dd-4a58-86f9-66b863a59644
HTTP Header Information Disclosure,low,"The HTTP headers sent by the remote web server disclose information that can aid an attacker, such as the server version and technologies used by the web server.",HTTP Security Header,https://<REACTED>-staging1-app.<REACTED>.com/,"https://cloud.tenable.com/was/v2/attachments/dd159c4d-75e6-4ffc-a7e3-2be3c0638443, https://cloud.tenable.com/was/v2/attachments/1708ec35-c3be-446b-a0e1-62043914cbc2"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/sm/login.jsp,"https://cloud.tenable.com/was/v2/attachments/0bc7d012-6a0e-4c20-bb80-db499ec8e933, https://cloud.tenable.com/was/v2/attachments/0944e81a-7061-4125-bb93-9a49457eca94"
Scan Logged-out Intermittently,info,"This plugin is raised when the scanner detected that it has been logged out during the scan, but has been able to authenticate back against the web application using the options provided in the scan policy. Such case may occur if the scanner accesses a link that led the session to be closed.

Check the output of the plugin for more details of the issue encountered by the scan.",Authentication & Session,https://<REACTED>-staging1-app.<REACTED>.com,"https://cloud.tenable.com/was/v2/attachments/e3cc46e8-652d-4a95-ac4d-66bd08991cac, https://cloud.tenable.com/was/v2/attachments/63223e09-39b3-4b2f-a58b-bf6af22a85cf, https://cloud.tenable.com/was/v2/attachments/e0bf9fa8-87fd-45f0-9759-38c49288d56b, https://cloud.tenable.com/was/v2/attachments/02febd2a-1ecc-49f7-88dd-c06d89518c89, https://cloud.tenable.com/was/v2/attachments/101a6ec4-1089-407b-8648-40180a25c2ec, https://cloud.tenable.com/was/v2/attachments/602c55e7-1428-4b26-8f75-c2e35402c010, https://cloud.tenable.com/was/v2/attachments/a3117f05-29b7-42fc-9c98-3b8d092aa914, https://cloud.tenable.com/was/v2/attachments/12a14caa-46af-4d12-874e-4d3aacbd8d38, https://cloud.tenable.com/was/v2/attachments/97058f91-a128-43c0-9bba-0b767d177199, https://cloud.tenable.com/was/v2/attachments/eb597a53-954d-48a5-9aa9-3e052de7eacb, https://cloud.tenable.com/was/v2/attachments/791c0f6a-5ff5-49f3-936e-ade361e6bcf4, https://cloud.tenable.com/was/v2/attachments/20695a0b-be24-4333-908f-3e4e9182febe, https://cloud.tenable.com/was/v2/attachments/2acbd1ca-0fb8-4103-897f-123d960d98ea"
Interesting Response,info,"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.",Web Applications,https://<REACTED>-staging1-app.<REACTED>.com/content/extensions/aspx,"https://cloud.tenable.com/was/v2/attachments/51821586-f217-4dd6-bc35-99050126f951, https://cloud.tenable.com/was/v2/attachments/64b52295-0bf1-4468-82d9-c360db71f0be"
SSL/TLS Server Cipher Suite Preference,info,The remote server is configured with a SSL/TLS cipher suite preference list used to determine the cipher suite during the negotiation with the client.,SSL/TLS,https://<REACTED>-staging1-app.<REACTED>.com/,
